,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,sum_deaths,sum_costs
50,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,2,1,2,2,7,2,1,10,0,4,1,0,1,9,1,10,112429465.54032746,0.0,179237237.8274835,0.0,81162299.7500258,0.0,12857587.774250694,0.0,168400741.74891925,0.0,1626600000.0,0.0,0.0,554087332.6410067
51,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,2,1,2,10,1,1,3,2,8,1,1,7,5,4,3,3,176417124.61220658,0.0,142823505.63630775,0.000943714749771572,90450100.52412578,0.0,36412868.69967003,3.232019967565409e-05,106494308.34836395,0.0,521600000.0,308.796974410286,0.0009760349494472261,552597907.8206741
52,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,4,5,1,10,0,0,8,3,6,1,6,2,3,10,8,2,208998870.10833246,0.0,106723480.81099242,0.0013911516721951712,86393856.47345893,0.0,32616604.291492917,0.0,176486371.86410227,0.0,523300000.0,761.4501369993404,0.0013911516721951712,611219183.5483791
53,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,7,0,2,3,0,0,4,6,1,2,5,1,0,9,68139002.95605196,0.0,93986630.59767582,0.0,62318902.73577461,0.0,26146098.773606602,0.0,93316217.15660287,0.002088479310645314,1623000000.0,193.07495189451257,0.002088479310645314,343906852.21971184
54,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,2,1,2,1,2,3,0,1,3,6,0,3,3,6,2,3,107385518.6904647,0.0,97176148.21849187,0.00022026352971128338,83487208.17216557,0.0002870444366622985,17803345.000196747,0.0,113723473.72410369,0.0,1342100000.0,103.68531245604612,0.0005073079663735819,419575693.8054226
55,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,3,1,5,3,0,3,0,1,4,6,0,7,0,4,113829615.07026595,0.0,116004983.79615441,0.0,46650169.32145682,0.0,24092218.720461875,0.0,86420965.59927613,0.0,607900000.0,0.0,0.0,386997952.50761515
56,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,3,1,4,0,3,6,5,1,0,3,1,3,7,0,6,5,82177854.37813279,0.0,201280193.88081348,0.0,45324187.55237766,0.0,31376262.396394357,0.0,90624783.76319179,0.00028133945302943214,1457400000.0,165.70545655047735,0.00028133945302943214,450783281.9709101
57,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,3,9,2,7,1,2,0,0,5,6,3,3,4,7,3,4,234282206.39259815,0.0,95020460.64979978,0.0006712610471712276,65941184.48239788,0.0,29664045.303329118,0.0,129299005.86489625,0.0,503700000.0,322.1680931302536,0.0006712610471712276,554206902.6930212
58,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,7,1,6,2,6,4,5,4,2,1,7,4,0,3,1,188945475.6704826,0.0,196253318.46334654,0.0007233641662991383,90027248.5440164,0.0,34069106.92662526,9.239242027287696e-06,60052425.60115144,0.00010280712063642047,498500000.0,402.24248278428286,0.0008354105289628465,569347575.2056223
59,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,3,6,6,7,6,4,9,2,7,2,5,5,1,3,109448217.91765803,0.0,257957265.08829707,0.0,107164216.80506548,0.0,38515100.49678508,0.0,103424912.41094339,0.0,638600000.0,0.0,0.0,616509712.718749
60,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,6,6,5,9,3,0,0,3,7,6,3,4,1,7,4,215771944.13273668,0.0,154728075.86138678,0.0,86307703.4409441,0.02077050246312473,36046598.4426796,0.0,114411258.02531242,0.0,538900000.0,0.0,0.02077050246312473,607265579.9030595
61,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,2,1,3,6,4,0,1,1,4,1,10,5,4,7,2,2,145883058.26646656,0.0,97105266.60422453,0.0,71617663.74483383,0.0,51922044.18502923,0.0,116400603.98191449,0.0,1336200000.0,0.0,0.0,482928636.78246856
62,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,4,1,7,3,1,7,3,3,8,1,3,0,2,0,7,10,158496200.4885197,0.0,189320431.75410014,0.0006886287535471977,94813578.78887096,0.0,16563094.679399516,0.0,119804712.75489919,0.00010280712063642047,824000000.0,450.2979034875463,0.0007914358741836181,578998018.4657894
63,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,2,0,3,6,1,7,1,4,0,2,1,8,9,7,3,1,109448217.91765803,0.0,176599271.5439914,0.0008390763089640345,51760044.33566119,0.0,47845162.280305356,1.1549052534109621e-05,117628654.87407616,0.0,1195400000.0,267.6269399370352,0.0008506253614981441,503281350.9516921
64,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,4,5,1,10,0,0,8,3,9,1,1,2,3,10,8,2,208998870.10833246,0.0,106723480.81099242,0.0013911516721951712,99493932.7291793,0.0,25781899.089968145,7.426135135933626e-05,176486371.86410227,0.0,523300000.0,858.43114326321,0.0014654130235545076,617484554.6025746
65,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,4,6,10,5,1,4,3,1,8,6,4,2,5,0,4,4,269462857.5306916,0.0,162613917.25501484,0.0006816816709968099,101344174.45167941,0.0,31623073.954505272,0.0,71555540.28476302,0.0,509600000.0,377.9466152533612,0.0006816816709968099,636599563.4766542
66,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,3,9,5,1,2,0,0,3,7,3,9,1,2,5,204096308.15786356,0.0,157033933.49482566,0.0,71815869.53682625,0.04015631152568842,50346299.58309312,0.0,96581472.88615806,0.001066049206210518,182600000.0,0.0,0.041222360731898944,579873883.6587666
67,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,2,9,10,7,5,4,0,3,4,4,3,0,5,1,3,4,342972037.7402872,0.0,122529913.13437451,0.0,86806179.74687824,0.0,20696082.48629594,0.0,124695393.03556213,0.0019765106585757767,515700000.0,717.8511803297245,0.0019765106585757767,697699606.143398
68,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,2,4,1,0,4,6,1,2,4,1,7,1,32694901.094161935,0.0,147880162.31222528,8.373894556205646e-05,86086929.55152173,0.0030022822730591705,28026419.010990143,0.00012579252331942035,105956605.80990186,0.00015990738093157772,1043500000.0,580.2500277988347,0.0033717211228722252,400645017.77880096
69,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,2,6,6,1,0,5,1,6,6,4,5,6,0,4,6,181635071.1423083,0.0,125131388.63338967,0.011592930601626427,94739250.34748705,0.0019077576956770398,39386978.83963405,0.0,122390644.56722677,0.018434267112913124,400400000.0,0.0,0.03193495541021659,563283333.5300459
70,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,2,7,7,8,1,4,6,1,4,0,0,0,0,3,5,5,276472803.8808717,0.0,184146207.20292145,0.0008521020887460125,47604893.24040605,0.0,556412.996271277,1.8568459362605767e-05,118905483.65420318,0.0,1931300000.0,276.5255243911098,0.0008706705481086182,627685800.9746736
71,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,6,1,7,5,7,7,6,4,1,0,7,0,1,0,0,186921762.1676117,0.0,255861989.36510822,0.0,92105183.62711218,0.0,17692183.62419167,0.000306578544025281,87676618.65143046,0.009871028875399514,748700000.0,954.4580828661854,0.010177607419424795,640257737.4354542
72,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,2,9,5,1,5,2,7,1,0,1,1,10,6,4,165530253.91235572,0.0,177331516.24113327,0.0,86235112.72888009,0.0,23032563.614276927,0.0009116586707354602,171671214.22164094,0.0,638600000.0,160.04874145714007,0.0009116586707354602,623800660.718287
73,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,2,4,10,3,5,0,1,1,9,5,2,3,3,0,0,0,224329729.65981406,0.0,104651657.86617124,0.0,126608083.16452958,0.0030589288212639412,26372924.31264166,0.0,52567720.38798816,0.003408410614729689,1256900000.0,1675.3737223085566,0.006467339435993631,534530115.3911447
