,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,sum_deaths,sum_costs
27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,3,0,7,0,3,0,0,0,0,2,7,1,3,219794249.55197835,0.016465895391761683,77353525.81040688,0.0006507262963768036,24198032.45136138,0.0,22741998.054677524,0.0013853433330422633,115581377.23133813,0.0,61400000.0,733.0586949872671,0.01850196502118075,459669183.09976226
28,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,7,2,6,5,7,1,0,0,0,0,2,3,0,2,0,197429601.30639416,0.0,203375519.163827,0.0,0.0,0.0,27429392.96942749,0.0009517869711409886,50617426.65120832,0.0035712986376596886,213300000.0,515.1297897101696,0.004523085608800677,478851940.09085697
29,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,2,5,0,2,0,0,0,0,0,0,1,0,0,37255203.23710208,0.0,110061574.43848997,0.0,245952719.89392656,0.025301056441578148,0.0,0.0,25037214.086173728,0.0,596800000.0,5136.716307502635,0.025301056441578148,418306711.65569234
30,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,6,7,0,0,0,4,7,4,1,1,6,311870973.6887046,0.09147719662089823,159774263.14754024,0.0018075730454911215,17974247.82117675,0.015147667731974152,40038846.194705315,0.0,94003040.7224447,0.0,61400000.0,0.0,0.1084324373983635,623661371.5745716
31,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,7,4,0,0,0,0,3,0,0,0,0,0,0,0,128674397.76670545,0.0,125708999.91881451,0.05594818279759522,31909872.79431327,0.00651380081162146,0.0,0.0,0.0,0.0,1147700000.0,0.0,0.062461983609216676,286293270.47983325
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,6,1,3,0,0,0,4,6,0,7,1,311870973.6887046,0.03293179078352337,159077260.7320068,0.0006844140195995448,32249385.301928475,0.0025330964349315446,26391513.180044297,0.00018743262990572317,90237280.05328706,0.0022151103505958342,0.0,1262.0350883961462,0.03855184421855602,619826412.9559712
33,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,4,1,7,2,191280391.41275886,0.045738598310449116,22599046.028069243,0.009979068599802028,20299287.62732069,0.0,16347288.792964684,0.0,106824032.87434787,0.0,469400000.0,0.0,0.055717666910251144,357350046.73546135
34,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,7,0,0,32694901.094161935,0.0,61049102.95373063,0.010160197995923404,20299287.62732069,0.0,32822328.186726443,0.007821361249826572,44193513.54513965,0.0,432800000.0,0.0,0.017981559245749977,191059133.40707934
35,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,3,0,3,6,0,0,1,0,0,0,1,0,0,0,0,3,109448217.91765803,0.0,69180535.82942852,0.0016551557464883557,7230582.175101689,0.0007324953596542054,11860836.39322436,0.00016607879137960877,161276646.01185843,0.00672439424785034,400400000.0,5085.822411277548,0.00927812414537251,358996818.327271
36,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,7,8,0,0,0,0,7,0,0,1,0,7,3,1,301977577.9971522,0.016465895391761683,22599046.028069243,0.0035924646959287296,34221561.73832255,0.0,6320800.309666242,0.0,117628654.87407616,0.0,469400000.0,724.5516074777311,0.020058360087690415,482747640.94728637
37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,2,0,0,6,6,4,1,0,0,411923655.6774038,0.04939768617528505,114531254.24070087,0.0064951286619704335,22167818.198803753,0.0,42494098.54140695,0.0,42229362.533434466,0.0026870325396225565,30700000.0,2090.1064546687535,0.05857984737687803,633346189.1917499
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,1,1,5,0,3,2,6,4,0.0,0.0,48628529.17200662,4.414978263282115e-05,177013755.24179614,0.011792774019516818,21068617.1353041,0.0,114321699.71192941,0.0,84600000.0,2387.3565397091065,0.01183692380214964,361032601.2610363
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,6,7,6,0,0,3,1,0,0,3,1,132815352.26297104,0.010098107231516175,241758521.0175588,0.019137779227910368,31398797.71871161,0.0,15444563.06553661,0.0,136266271.04846138,0.033866584912759075,0.0,0.0,0.06310247137218561,557683505.1132395
40,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,7,1,0,0,1,2,5,5,1,0,101988088.03595176,0.0,137220471.0599543,0.0,43580862.46352343,0.019766208679939248,37964830.62447949,0.0029754934747756017,66294113.011456475,0.0,61400000.0,0.0,0.022741702154714848,387048365.1953655
